Bin	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	Tool
Metabat2_secondtrial_.1	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	Metabat2.2500
Metabat2_secondtrial_.10	k__Bacteria (UID2569)	434	278	186	229	49	0	0	0	0	9.14	0	0	Metabat2.2500
Metabat2_secondtrial_.100	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.101	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.102	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	25	0	0	Metabat2.2500
Metabat2_secondtrial_.103	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.2500
Metabat2_secondtrial_.104	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	16.67	0	0	Metabat2.2500
Metabat2_secondtrial_.105	k__Bacteria (UID2570)	433	273	183	97	176	0	0	0	0	63.96	0	0	Metabat2.2500
Metabat2_secondtrial_.106	k__Bacteria (UID203)	5449	104	58	77	27	0	0	0	0	39.66	0	0	Metabat2.2500
Metabat2_secondtrial_.107	f__Flavobacteriaceae (UID2817)	81	511	283	75	423	13	0	0	0	94.39	3.39	61.54	Metabat2.2500
Metabat2_secondtrial_.108	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	24.14	0	0	Metabat2.2500
Metabat2_secondtrial_.109	k__Bacteria (UID1453)	901	171	117	134	37	0	0	0	0	19.06	0	0	Metabat2.2500
Metabat2_secondtrial_.11	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.110	f__Moraxellaceae (UID4680)	86	689	365	68	614	7	0	0	0	92.16	1.44	71.43	Metabat2.2500
Metabat2_secondtrial_.111	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.112	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.113	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.114	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.2500
Metabat2_secondtrial_.115	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	31.58	0	0	Metabat2.2500
Metabat2_secondtrial_.12	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0	Metabat2.2500
Metabat2_secondtrial_.13	root (UID1)	5656	56	24	53	2	1	0	0	0	12.5	4.17	0	Metabat2.2500
Metabat2_secondtrial_.14	k__Archaea (UID2)	207	145	103	76	69	0	0	0	0	40.13	0	0	Metabat2.2500
Metabat2_secondtrial_.15	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	11.21	0	0	Metabat2.2500
Metabat2_secondtrial_.16	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.17	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	12.07	0	0	Metabat2.2500
Metabat2_secondtrial_.18	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	11.55	0	0	Metabat2.2500
Metabat2_secondtrial_.19	k__Bacteria (UID203)	5449	104	58	63	41	0	0	0	0	42.16	0	0	Metabat2.2500
Metabat2_secondtrial_.2	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	5.17	0	0	Metabat2.2500
Metabat2_secondtrial_.20	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.21	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	6.9	0	0	Metabat2.2500
Metabat2_secondtrial_.22	k__Bacteria (UID2570)	433	270	179	30	235	5	0	0	0	85.75	2.23	0	Metabat2.2500
Metabat2_secondtrial_.23	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.24	k__Bacteria (UID2570)	433	273	183	211	62	0	0	0	0	12.7	0	0	Metabat2.2500
Metabat2_secondtrial_.25	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.26	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.27	k__Bacteria (UID203)	5449	102	56	39	63	0	0	0	0	46.43	0	0	Metabat2.2500
Metabat2_secondtrial_.28	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	15.52	0	0	Metabat2.2500
Metabat2_secondtrial_.29	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.3	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.30	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.31	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	9.48	0	0	Metabat2.2500
Metabat2_secondtrial_.32	root (UID1)	5656	56	24	55	1	0	0	0	0	1.04	0	0	Metabat2.2500
Metabat2_secondtrial_.33	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.34	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.35	k__Bacteria (UID203)	5449	104	58	85	19	0	0	0	0	32.76	0	0	Metabat2.2500
Metabat2_secondtrial_.36	k__Archaea (UID2)	207	145	103	111	34	0	0	0	0	26.7	0	0	Metabat2.2500
Metabat2_secondtrial_.37	root (UID1)	5656	56	24	51	5	0	0	0	0	20.83	0	0	Metabat2.2500
Metabat2_secondtrial_.38	k__Archaea (UID2)	207	149	107	143	6	0	0	0	0	3.66	0	0	Metabat2.2500
Metabat2_secondtrial_.39	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.4	k__Bacteria (UID203)	5449	104	58	90	12	2	0	0	0	21.03	1.72	100	Metabat2.2500
Metabat2_secondtrial_.40	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.41	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.42	p__Firmicutes (UID1022)	100	295	158	214	81	0	0	0	0	24.68	0	0	Metabat2.2500
Metabat2_secondtrial_.43	k__Bacteria (UID203)	5449	104	58	73	31	0	0	0	0	41.69	0	0	Metabat2.2500
Metabat2_secondtrial_.44	k__Bacteria (UID2495)	2993	143	89	84	59	0	0	0	0	20.53	0	0	Metabat2.2500
Metabat2_secondtrial_.45	c__Deltaproteobacteria (UID3216)	83	247	155	207	40	0	0	0	0	4.19	0	0	Metabat2.2500
Metabat2_secondtrial_.46	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.47	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.48	k__Bacteria (UID203)	5449	104	58	82	22	0	0	0	0	33.62	0	0	Metabat2.2500
Metabat2_secondtrial_.49	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	17.54	0	0	Metabat2.2500
Metabat2_secondtrial_.5	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.2500
Metabat2_secondtrial_.50	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.51	k__Bacteria (UID1452)	924	151	101	50	101	0	0	0	0	56.84	0	0	Metabat2.2500
Metabat2_secondtrial_.52	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.53	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.54	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	22.41	0	0	Metabat2.2500
Metabat2_secondtrial_.55	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.56	k__Bacteria (UID203)	5449	104	58	58	46	0	0	0	0	50.29	0	0	Metabat2.2500
Metabat2_secondtrial_.57	k__Bacteria (UID203)	5449	103	57	87	16	0	0	0	0	20.81	0	0	Metabat2.2500
Metabat2_secondtrial_.58	k__Bacteria (UID203)	5449	104	58	69	28	7	0	0	0	52.07	12.07	71.43	Metabat2.2500
Metabat2_secondtrial_.59	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	12.07	0	0	Metabat2.2500
Metabat2_secondtrial_.6	c__Deltaproteobacteria (UID3216)	83	247	155	150	97	0	0	0	0	33.93	0	0	Metabat2.2500
Metabat2_secondtrial_.60	k__Bacteria (UID2570)	433	273	183	7	266	0	0	0	0	96.89	0	0	Metabat2.2500
Metabat2_secondtrial_.61	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	8.07	0	0	Metabat2.2500
Metabat2_secondtrial_.62	k__Bacteria (UID203)	5449	103	57	73	30	0	0	0	0	45.61	0	0	Metabat2.2500
Metabat2_secondtrial_.63	p__Bacteroidetes (UID2605)	350	316	210	2	309	5	0	0	0	99.05	1.35	0	Metabat2.2500
Metabat2_secondtrial_.64	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.65	k__Bacteria (UID2495)	2993	143	89	26	117	0	0	0	0	76.54	0	0	Metabat2.2500
Metabat2_secondtrial_.66	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.67	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.68	k__Bacteria (UID203)	5449	104	58	89	15	0	0	0	0	22.41	0	0	Metabat2.2500
Metabat2_secondtrial_.69	c__Deltaproteobacteria (UID3216)	83	247	155	123	124	0	0	0	0	45.94	0	0	Metabat2.2500
Metabat2_secondtrial_.7	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	Metabat2.2500
Metabat2_secondtrial_.70	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.71	k__Bacteria (UID2565)	2921	144	89	108	35	1	0	0	0	21.44	1.12	100	Metabat2.2500
Metabat2_secondtrial_.72	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.73	k__Bacteria (UID2570)	433	273	183	199	74	0	0	0	0	25.55	0	0	Metabat2.2500
Metabat2_secondtrial_.74	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.75	k__Bacteria (UID1452)	924	161	108	97	64	0	0	0	0	29.68	0	0	Metabat2.2500
Metabat2_secondtrial_.76	k__Bacteria (UID203)	5449	103	57	100	3	0	0	0	0	5.26	0	0	Metabat2.2500
Metabat2_secondtrial_.77	k__Bacteria (UID203)	5449	104	58	61	35	8	0	0	0	62.93	13.79	75	Metabat2.2500
Metabat2_secondtrial_.78	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.79	c__Deltaproteobacteria (UID3216)	83	247	155	119	126	1	1	0	0	55.59	1.94	0	Metabat2.2500
Metabat2_secondtrial_.8	k__Bacteria (UID203)	5449	104	58	83	21	0	0	0	0	27.59	0	0	Metabat2.2500
Metabat2_secondtrial_.80	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	2.41	0	0	Metabat2.2500
Metabat2_secondtrial_.81	k__Bacteria (UID203)	5449	103	57	83	20	0	0	0	0	33.33	0	0	Metabat2.2500
Metabat2_secondtrial_.82	k__Archaea (UID2)	207	145	103	126	19	0	0	0	0	12.62	0	0	Metabat2.2500
Metabat2_secondtrial_.83	p__Firmicutes (UID1022)	100	295	158	40	255	0	0	0	0	86.62	0	0	Metabat2.2500
Metabat2_secondtrial_.84	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Metabat2.2500
Metabat2_secondtrial_.85	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.86	k__Bacteria (UID2495)	2993	143	89	13	130	0	0	0	0	86.52	0	0	Metabat2.2500
Metabat2_secondtrial_.87	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	1.18	0	0	Metabat2.2500
Metabat2_secondtrial_.88	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.89	k__Bacteria (UID203)	5449	103	57	99	4	0	0	0	0	7.02	0	0	Metabat2.2500
Metabat2_secondtrial_.9	k__Bacteria (UID203)	5449	104	58	94	8	2	0	0	0	14.66	3.45	50	Metabat2.2500
Metabat2_secondtrial_.90	k__Bacteria (UID1452)	924	151	101	36	109	6	0	0	0	69.31	5.94	33.33	Metabat2.2500
Metabat2_secondtrial_.91	c__Gammaproteobacteria (UID4201)	1164	275	174	27	246	2	0	0	0	87.07	0.38	50	Metabat2.2500
Metabat2_secondtrial_.92	c__Deltaproteobacteria (UID3216)	83	247	155	189	56	2	0	0	0	8.39	1.29	0	Metabat2.2500
Metabat2_secondtrial_.93	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.94	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Metabat2.2500
Metabat2_secondtrial_.95	k__Bacteria (UID203)	5449	104	58	69	35	0	0	0	0	48.56	0	0	Metabat2.2500
Metabat2_secondtrial_.96	k__Archaea (UID2)	207	145	103	68	69	8	0	0	0	60.84	4.21	62.5	Metabat2.2500
Metabat2_secondtrial_.97	k__Bacteria (UID203)	5449	103	57	80	23	0	0	0	0	26.95	0	0	Metabat2.2500
Metabat2_secondtrial_.98	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_secondtrial_.99	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.2500
Metabat2_thirdtrial_.1	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.10	root (UID1)	5656	56	24	51	5	0	0	0	0	20.83	0	0	Metabat2.3000
Metabat2_thirdtrial_.11	p__Firmicutes (UID1022)	100	295	158	218	77	0	0	0	0	10.67	0	0	Metabat2.3000
Metabat2_thirdtrial_.12	k__Bacteria (UID203)	5449	104	58	80	24	0	0	0	0	31.32	0	0	Metabat2.3000
Metabat2_thirdtrial_.13	k__Bacteria (UID203)	5449	104	58	84	20	0	0	0	0	29.31	0	0	Metabat2.3000
Metabat2_thirdtrial_.14	k__Bacteria (UID1452)	924	151	101	50	101	0	0	0	0	56.84	0	0	Metabat2.3000
Metabat2_thirdtrial_.15	c__Deltaproteobacteria (UID3216)	83	247	155	169	78	0	0	0	0	21.42	0	0	Metabat2.3000
Metabat2_thirdtrial_.16	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Metabat2.3000
Metabat2_thirdtrial_.17	k__Bacteria (UID2495)	2993	143	89	26	117	0	0	0	0	76.54	0	0	Metabat2.3000
Metabat2_thirdtrial_.18	k__Bacteria (UID1452)	924	161	108	112	49	0	0	0	0	33.97	0	0	Metabat2.3000
Metabat2_thirdtrial_.19	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.2	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	12.07	0	0	Metabat2.3000
Metabat2_thirdtrial_.20	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.21	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.22	k__Bacteria (UID2570)	433	270	179	185	85	0	0	0	0	20.11	0	0	Metabat2.3000
Metabat2_thirdtrial_.23	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	15.79	0	0	Metabat2.3000
Metabat2_thirdtrial_.24	root (UID1)	5656	56	24	53	2	1	0	0	0	12.5	4.17	0	Metabat2.3000
Metabat2_thirdtrial_.25	k__Bacteria (UID203)	5449	103	57	100	3	0	0	0	0	3.51	0	0	Metabat2.3000
Metabat2_thirdtrial_.26	k__Archaea (UID2)	207	145	103	113	32	0	0	0	0	19.42	0	0	Metabat2.3000
Metabat2_thirdtrial_.27	c__Deltaproteobacteria (UID3216)	83	247	155	189	56	2	0	0	0	8.39	1.29	0	Metabat2.3000
Metabat2_thirdtrial_.28	k__Bacteria (UID203)	5449	104	58	98	6	0	0	0	0	10.34	0	0	Metabat2.3000
Metabat2_thirdtrial_.29	k__Bacteria (UID203)	5449	103	57	73	30	0	0	0	0	47.37	0	0	Metabat2.3000
Metabat2_thirdtrial_.3	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.30	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	25.86	0	0	Metabat2.3000
Metabat2_thirdtrial_.31	k__Bacteria (UID203)	5449	104	58	101	3	0	0	0	0	5.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.32	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.33	k__Bacteria (UID203)	5449	103	57	98	5	0	0	0	0	7.89	0	0	Metabat2.3000
Metabat2_thirdtrial_.34	k__Bacteria (UID203)	5449	103	57	98	5	0	0	0	0	8.77	0	0	Metabat2.3000
Metabat2_thirdtrial_.35	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	4.66	0	0	Metabat2.3000
Metabat2_thirdtrial_.36	k__Bacteria (UID203)	5449	103	57	92	11	0	0	0	0	19.3	0	0	Metabat2.3000
Metabat2_thirdtrial_.37	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.38	k__Bacteria (UID203)	5449	104	58	99	5	0	0	0	0	8.62	0	0	Metabat2.3000
Metabat2_thirdtrial_.39	k__Bacteria (UID2570)	433	273	183	134	139	0	0	0	0	46.87	0	0	Metabat2.3000
Metabat2_thirdtrial_.4	k__Bacteria (UID203)	5449	104	58	91	13	0	0	0	0	18.97	0	0	Metabat2.3000
Metabat2_thirdtrial_.40	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	10.34	0	0	Metabat2.3000
Metabat2_thirdtrial_.41	k__Bacteria (UID1452)	924	161	108	108	53	0	0	0	0	28.39	0	0	Metabat2.3000
Metabat2_thirdtrial_.42	c__Deltaproteobacteria (UID3216)	83	247	155	217	30	0	0	0	0	4.42	0	0	Metabat2.3000
Metabat2_thirdtrial_.43	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	25.86	0	0	Metabat2.3000
Metabat2_thirdtrial_.44	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.45	k__Bacteria (UID203)	5449	103	57	82	16	5	0	0	0	33.33	8.77	80	Metabat2.3000
Metabat2_thirdtrial_.46	k__Bacteria (UID203)	5449	103	57	94	9	0	0	0	0	11.4	0	0	Metabat2.3000
Metabat2_thirdtrial_.47	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	8.97	0	0	Metabat2.3000
Metabat2_thirdtrial_.48	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.49	f__Flavobacteriaceae (UID2817)	81	511	283	75	422	14	0	0	0	94.39	3.45	64.29	Metabat2.3000
Metabat2_thirdtrial_.5	k__Archaea (UID2)	207	149	107	145	4	0	0	0	0	2.49	0	0	Metabat2.3000
Metabat2_thirdtrial_.50	root (UID1)	5656	56	24	53	3	0	0	0	0	12.5	0	0	Metabat2.3000
Metabat2_thirdtrial_.51	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	12.07	0	0	Metabat2.3000
Metabat2_thirdtrial_.52	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.53	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.54	k__Bacteria (UID203)	5449	103	57	77	26	0	0	0	0	38.6	0	0	Metabat2.3000
Metabat2_thirdtrial_.55	k__Bacteria (UID2570)	433	273	183	12	261	0	0	0	0	95.38	0	0	Metabat2.3000
Metabat2_thirdtrial_.56	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.57	k__Bacteria (UID203)	5449	104	58	86	17	1	0	0	0	31.03	1.72	100	Metabat2.3000
Metabat2_thirdtrial_.58	c__Gammaproteobacteria (UID4201)	1164	275	174	250	25	0	0	0	0	4.6	0	0	Metabat2.3000
Metabat2_thirdtrial_.59	k__Bacteria (UID203)	5449	104	58	84	20	0	0	0	0	28.62	0	0	Metabat2.3000
Metabat2_thirdtrial_.6	k__Bacteria (UID2570)	433	273	183	228	45	0	0	0	0	13.66	0	0	Metabat2.3000
Metabat2_thirdtrial_.60	k__Bacteria (UID203)	5449	104	58	78	26	0	0	0	0	26.65	0	0	Metabat2.3000
Metabat2_thirdtrial_.61	f__Moraxellaceae (UID4680)	86	689	365	481	207	1	0	0	0	30.48	0.14	100	Metabat2.3000
Metabat2_thirdtrial_.62	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.63	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.64	p__Bacteroidetes (UID2605)	350	316	210	2	309	5	0	0	0	99.05	1.35	0	Metabat2.3000
Metabat2_thirdtrial_.65	k__Bacteria (UID203)	5449	104	58	50	54	0	0	0	0	53.29	0	0	Metabat2.3000
Metabat2_thirdtrial_.66	k__Bacteria (UID1452)	924	151	101	60	88	3	0	0	0	49.5	2.97	33.33	Metabat2.3000
Metabat2_thirdtrial_.67	c__Gammaproteobacteria (UID4201)	1164	275	174	83	192	0	0	0	0	70.4	0	0	Metabat2.3000
Metabat2_thirdtrial_.68	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.69	k__Archaea (UID2)	207	145	103	107	38	0	0	0	0	29.13	0	0	Metabat2.3000
Metabat2_thirdtrial_.7	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.70	k__Bacteria (UID203)	5449	104	58	100	4	0	0	0	0	6.9	0	0	Metabat2.3000
Metabat2_thirdtrial_.71	k__Bacteria (UID2569)	434	278	186	229	49	0	0	0	0	9.14	0	0	Metabat2.3000
Metabat2_thirdtrial_.72	k__Bacteria (UID209)	5443	105	59	23	82	0	0	0	0	62.71	0	0	Metabat2.3000
Metabat2_thirdtrial_.73	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.74	k__Archaea (UID2)	207	145	103	119	26	0	0	0	0	22.33	0	0	Metabat2.3000
Metabat2_thirdtrial_.75	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Metabat2.3000
Metabat2_thirdtrial_.76	root (UID1)	5656	56	24	56	0	0	0	0	0	0	0	0	Metabat2.3000
Metabat2_thirdtrial_.8	k__Bacteria (UID203)	5449	104	58	96	8	0	0	0	0	10.34	0	0	Metabat2.3000
Metabat2_thirdtrial_.9	k__Bacteria (UID203)	5449	104	58	94	10	0	0	0	0	15.52	0	0	Metabat2.3000
maxbin.001	k__Bacteria (UID203)	5449	104	58	75	29	0	0	0	0	43.1	0	0	Maxbin
maxbin.002	k__Bacteria (UID2570)	433	270	179	126	144	0	0	0	0	47.49	0	0	Maxbin
maxbin.003	p__Bacteroidetes (UID2605)	350	316	210	2	309	5	0	0	0	99.05	1.35	0	Maxbin
maxbin.004	k__Bacteria (UID203)	5449	103	57	19	69	15	0	0	0	71.61	7.02	0	Maxbin
maxbin.005	k__Bacteria (UID203)	5449	104	58	61	41	2	0	0	0	62.07	3.45	0	Maxbin
maxbin.006	k__Bacteria (UID2570)	433	270	179	146	95	24	4	1	0	53.68	16.9	2.38	Maxbin
maxbin.007	k__Archaea (UID2)	207	149	107	93	49	7	0	0	0	29.46	3.74	0	Maxbin
maxbin.008	k__Bacteria (UID2495)	2993	143	89	62	68	9	4	0	0	55.32	14.15	4.76	Maxbin
maxbin.009	k__Bacteria (UID1453)	901	171	117	77	63	28	2	1	0	52.48	20.97	7.5	Maxbin
maxbin.010	k__Bacteria (UID1453)	901	171	117	128	40	3	0	0	0	19.49	0.48	33.33	Maxbin
maxbin.011	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Maxbin
maxbin.012	k__Bacteria (UID203)	5449	104	58	44	41	14	5	0	0	55.17	12.3	0	Maxbin
maxbin.013	k__Bacteria (UID2570)	433	270	179	138	110	18	4	0	0	49.47	9.9	16.67	Maxbin
maxbin.014	k__Bacteria (UID1452)	924	163	110	72	54	25	9	3	0	60.69	34.98	2.86	Maxbin
maxbin.015	k__Bacteria (UID203)	5449	104	58	46	42	16	0	0	0	37.62	5.64	0	Maxbin
maxbin.016	k__Bacteria (UID203)	5449	104	58	4	63	36	1	0	0	93.1	36.21	0	Maxbin
maxbin.017	k__Bacteria (UID2495)	2993	143	89	20	121	2	0	0	0	80.15	2.25	50	Maxbin
maxbin.018	k__Bacteria (UID203)	5449	104	58	1	74	29	0	0	0	98.28	8.46	0	Maxbin
maxbin.019	k__Bacteria (UID2569)	434	278	186	4	256	17	1	0	0	97.85	7.8	0	Maxbin
maxbin.020	k__Bacteria (UID203)	5449	104	58	4	57	39	4	0	0	94.83	51.21	0	Maxbin
maxbin.021	k__Bacteria (UID2570)	433	273	183	7	259	7	0	0	0	96.89	3.83	0	Maxbin
maxbin.022	c__Deltaproteobacteria (UID3216)	83	247	155	10	236	1	0	0	0	96.26	0.65	0	Maxbin
maxbin.023	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	19.75	0	0	Maxbin
maxbin.024	c__Clostridia (UID1085)	35	420	196	343	73	4	0	0	0	8.82	0.89	100	Maxbin
maxbin.025	k__Bacteria (UID203)	5449	104	58	3	53	38	9	1	0	96.39	59.22	1.41	Maxbin
maxbin.026	k__Bacteria (UID203)	5449	104	58	64	36	4	0	0	0	51.68	4.31	75	Maxbin
maxbin.027	k__Bacteria (UID2570)	433	270	179	125	105	36	4	0	0	43.99	16.74	31.25	Maxbin
maxbin.028	f__Enterobacteriaceae (UID5124)	134	1173	336	55	365	723	29	1	0	97.01	74.11	82.84	Maxbin
maxbin.029	k__Bacteria (UID2570)	433	273	183	4	137	126	6	0	0	98.25	60.88	1.39	Maxbin
maxbin.030	k__Bacteria (UID203)	5449	103	57	17	43	20	17	3	3	81.98	80.81	16.81	Maxbin
maxbin.031	k__Bacteria (UID203)	5449	102	56	4	63	31	2	2	0	93.75	50.54	2.04	Maxbin
maxbin.032	root (UID1)	5656	56	24	55	1	0	0	0	0	4.17	0	0	Maxbin
maxbin.033	c__Deltaproteobacteria (UID3216)	83	246	155	129	76	28	11	2	0	51.76	26.31	0	Maxbin
maxbin.034	c__Gammaproteobacteria (UID4201)	1164	275	174	2	269	4	0	0	0	99.14	1.53	50	Maxbin
maxbin.035	k__Bacteria (UID203)	5449	104	58	12	50	35	4	3	0	88.71	49.2	3.08	Maxbin
